strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline_conservative,ds does not remove posts like weevs because weevs post is not illegal it removes jidf faggots telling people to kill cops n shit,normal,hate,1.8802144527435303,"The text uses a homophobic slur and calls for violence against a group, which meets the criteria for hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,"well, you did make some assumptions about mexicans, i think it's because of lack of knowledge, only because we speak spanish (if",normal,normal,2.0783159732818604,"The statement discusses assumptions about Mexicans without expressing hostility, threats, or demeaning language, so it does not constitute hate speech.",mexican,mexican,canned_100_stratified,success
baseline_conservative,<user> <user> nigga called him gay for being athletic lmfao,normal,hate,2.0646097660064697,"The text uses the racial slur ""nigga"" and mocks someone by calling them gay, which are both forms of hateful language.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,"middle easterners from arab/muslim countries are terrorists...we have to stop letting them in, they will turn germany into a 3",hate,normal,2.062081813812256,No rationale provided,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,noir is so good you gays,normal,normal,2.103980779647827,The statement does not contain derogatory language or threats toward a protected group; it merely mentions 'gays' without hateful intent.,lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,<user> they are both gay listen to better bands made by better bands gang,normal,hate,2.430082082748413,"The phrase uses 'gay' as an insult, targeting a protected LGBTQ+ group in a derogatory way, which constitutes hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,<number> it my birthday this month the supreme court is also hearing an important case starting <number> <number> re if someone can be fired for being lgbtq please do something nice for the queer folx in your life do not have any block and report homophobes on twitter there are plenty,normal,normal,2.524238348007202,"The text does not contain hateful language; it discusses a birthday, a court case, and encourages support for LGBTQ individuals, which is not hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,also that he a faggot and serial mudshark,hate,hate,3.3821067810058594,"The text uses homophobic slur 'faggot' and a derogatory term 'mudshark', which constitute hate speech targeting an individual.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,why are playstation stans such faggots,normal,hate,0.821936845779419,"The text uses a homophobic slur ('faggots') as an insult, which constitutes hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,"i imagine a great many people, when they hear the words lesbian and gay, initially conjure images of gay men.",normal,normal,0.822746753692627,The statement merely comments on common perceptions of sexual orientation without using hateful or derogatory language.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,this is what an average iranian female looks like you faggots are retarded you all get the gas we need smarter people than this in the atavistic aryan future,hate,hate,0.7600457668304443,"The text uses homophobic slur, demeaning language, and threatens violence, which meets criteria for hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,"2) If you were to take a hundred percent true trans person, or a hundred percent true cis person, and a hundred percent false cis person,",hate,normal,1.032475233078003,"The excerpt is a neutral, incomplete statement about hypothetical categories of people and does not contain hateful language or target any group with hostility.",lgbtq,lgbtq,canned_100_stratified,success
